variable,p_val,avg_log2FC,p_val_adj
Ighv6-6_B5,0.001,-0.6416092542500502,0.001
Ighv6-7_B5,0.001,1.0,0.001
Ighv7-1_B5,0.001,1.0,0.001
Ighv7-2_B5,0.001,1.0,0.001
Ighv7-3_B5,0.001,0.7119481880835644,0.001
Ighv8-11_B5,0.001,1.0,0.001
Ighv8-12_B5,0.001,1.0977789831413354,0.001
Ighv8-2_B5,0.001,1.0,0.001
Ighv8-5_B5,0.001,1.0,0.001
Ighv8-8_B5,0.001,1.0,0.001
Ighv9-1_B5,0.001,-0.5233161810998397,0.001
Ighv9-2_B5,0.001,0.0290140052229283,0.001
Ighv9-3_B5,0.001,0.0658550178282533,0.001
Ighv9-4_B5,0.001,1.0,0.001
Igkc_B5,0.001,0.0433197770251561,0.001
Igkv1-110_B5,0.001,-1.6796401420564049,0.001
Igkv1-117_B5,0.001,0.4172564389798003,0.001
Igkv1-122_B5,0.001,1.0,0.001
Igkv1-133_B5,0.001,1.0,0.001
Igkv1-135_B5,0.001,0.0347664686858357,0.001
Igkv1-88_B5,0.001,1.0,0.001
Igkv10-94_B5,0.001,-0.994678233112318,0.001
Igkv10-95_B5,0.001,1.0,0.001
Igkv10-96_B5,0.001,-0.7564481091166659,0.001
Igkv12-38_B5,0.001,1.0,0.001
Igkv12-41_B5,0.001,-0.0986327688796332,0.001
Igkv12-44_B5,0.001,-0.1789456972075075,0.001
Igkv12-46_B5,0.001,2.060810846274325,0.001
Igkv12-89_B5,0.001,1.0,0.001
Igkv12-98_B5,0.001,1.0,0.001
Igkv13-84_B5,0.001,1.0,0.001
Igkv13-85_B5,0.001,1.0,0.001
Igkv14-111_B5,0.001,0.8412131747078672,0.001
Igkv14-126_B5,0.001,1.0,0.001
Igkv15-103_B5,0.001,-1.786105191177973,0.001
Igkv16-104_B5,0.001,1.349027440793534,0.001
Igkv17-121_B5,0.001,0.7391281314513534,0.001
Igkv17-127_B5,0.001,-0.5525325524270353,0.001
Igkv19-93_B5,0.001,-2.0245725342398644,0.001
Igkv2-109_B5,0.001,-1.4704163808550197,0.001
Igkv2-112_B5,0.001,1.0,0.001
Igkv2-116_B5,0.001,1.0,0.001
Igkv2-137_B5,0.001,1.0,0.001
Igkv3-1_B5,0.001,1.0,0.001
Igkv3-10_B5,0.001,-2.770670900114099,0.001
Igkv3-11_B5,0.001,1.0,0.001
Igkv3-12_B5,0.001,-1.7242253897689508,0.001
Igkv3-2_B5,0.001,1.1371820621855453,0.001
Igkv3-4_B5,0.001,0.238134570078234,0.001
Igkv3-5_B5,0.001,1.0,0.001
Igkv3-7_B5,0.001,1.0,0.001
Igkv4-50_B5,0.001,1.0,0.001
Igkv4-53_B5,0.001,1.0,0.001
Igkv4-55_B5,0.001,1.0,0.001
Igkv4-57_B5,0.001,0.8661455185913186,0.001
Igkv4-57-1_B5,0.001,1.0,0.001
Igkv4-58_B5,0.001,1.0,0.001
Igkv4-59_B5,0.001,1.0,0.001
Igkv4-61_B5,0.001,1.0,0.001
Igkv4-63_B5,0.001,1.0,0.001
Igkv4-68_B5,0.001,1.0,0.001
Igkv4-69_B5,0.001,1.0,0.001
Igkv4-70_B5,0.001,1.0,0.001
Igkv4-71_B5,0.001,1.0,0.001
Igkv4-72_B5,0.001,1.0,0.001
Igkv4-74_B5,0.001,1.0,0.001
Igkv4-77_B5,0.001,1.0,0.001
Igkv4-79_B5,0.001,1.0,0.001
Igkv4-80_B5,0.001,1.0,0.001
Igkv4-86_B5,0.001,1.0,0.001
Igkv4-90_B5,0.001,1.0,0.001
Igkv4-91_B5,0.001,1.0,0.001
Igkv5-39_B5,0.001,1.0,0.001
Igkv5-43_B5,0.001,-1.3784636743056675,0.001
Igkv5-45_B5,0.001,1.0,0.001
Igkv5-48_B5,0.001,0.7283255902138965,0.001
Igkv6-13_B5,0.001,1.0,0.001
Igkv6-14_B5,0.001,1.0,0.001
Igkv6-15_B5,0.001,1.4357549956210474,0.001
Igkv6-17_B5,0.001,0.120416097758144,0.001
Igkv6-20_B5,0.001,0.299099051086263,0.001
Igkv6-23_B5,0.001,-0.5653173406320426,0.001
Igkv6-25_B5,0.001,0.106166151343029,0.001
Igkv6-32_B5,0.001,1.0,0.001
Igkv8-19_B5,0.001,-0.0698773478181813,0.001
