"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Atp6v1g3",0.131213967048287,3.06963789808311,0.001,0,1
"Kcnj9",0.131213967048287,2.82324048276269,0.001,0,1
"Gm11457",0.131213967048287,3.42799052501472,0.001,0,1
"Wdr54",0.131213967048287,3.56170062421935,0.001,0,1
"1700124L16Rik",0.131213967048287,4.04986923664047,0.001,0,1
"Ovol3",0.131213967048287,3.08184074920938,0.001,0,1
"Klk1b9",0.131213967048287,2.43975129773222,0.001,0,1
"Slc17a6",0.131213967048287,2.46639727239388,0.001,0,1
"Ccdc36",0.131213967048287,1.85915442305868,0.001,0,1
"Gm31793",0.131213967048287,2.3798850202954,0.001,0,1
"Slc36a3",0.131213967048287,2.44869610913076,0.001,0,1
